Jilid,Page,PageRole,Slot,ObjectID,CanonicalKey,ObjectType,ArabicObject,PrimaryCompetency,ReviewCompetencies,SourceRef,Status,Notes
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,6,J1-P03-S06,cfd311b1ae45a8ec6e77,LETTER,غُ,C0004,C0001,2:88,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,7,J1-P03-S07,747c7ffd328f521920bd,LETTER,فَ,C0002,C0001,2:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,8,J1-P03-S08,ae8c0cfc8c1a1e8ffb0b,LETTER,فِ,C0003,C0001,2:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,9,J1-P03-S09,dc7b8bee222f3a19917f,LETTER,فُ,C0004,C0001,2:9,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,10,J1-P03-S10,29312bbd7043ececd8ac,LETTER,قَ,C0002,C0001,2:4,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,11,J1-P03-S11,669f681198ef56aca5a2,LETTER,قِ,C0003,C0001,1:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,12,J1-P03-S12,647db5806a6517fde744,LETTER,قُ,C0004,C0001,2:3,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,13,J1-P03-S13,5f5f9c198a64d6075d1d,LETTER,كَ,C0002,C0001,1:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,14,J1-P03-S14,832bf77278875d149f56,LETTER,كِ,C0003,C0001,1:4,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,15,J1-P03-S15,606b60b9e2fea63c41fc,LETTER,كُ,C0004,C0001,2:14,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,16,J1-P03-S16,5fd8601fc1a968ab025c,LETTER,لَ,C0002,C0001,1:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,17,J1-P03-S17,06e6f7ee2651c5cc416b,LETTER,لِ,C0003,C0001,1:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,18,J1-P03-S18,7048e947520c507aeacb,LETTER,لُ,C0004,C0001,2:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,19,J1-P03-S19,1a40e83aaf4418c37091,LETTER,مَ,C0002,C0001,1:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,20,J1-P03-S20,2f1e8f0be1c6389ce156,LETTER,مِ,C0003,C0001,1:1,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,21,J1-P03-S21,d9bcde79800fe58039a6,LETTER,مُ,C0004,C0001,1:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,22,J1-P03-S22,a622dfbbf11a4d4a34c4,LETTER,نَ,C0002,C0001,1:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,23,J1-P03-S23,a003f9105ba584fe5ccd,LETTER,نِ,C0003,C0001,1:1,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,24,J1-P03-S24,67aac0e73dbe679f70ec,LETTER,نُ,C0004,C0001,1:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,1,J1-P04-S01,bc02b341a627174ac144,LETTER,هَ,C0002,C0001,2:9,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,2,J1-P04-S02,13183fd1c0696ec0678f,LETTER,هِ,C0003,C0001,1:1,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,3,J1-P04-S03,01661d78b82106f55589,LETTER,هُ,C0004,C0001,2:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,4,J1-P04-S04,6816565ffd4546e5430d,LETTER,وَ,C0002,C0001,1:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,4,LETTER_REMAINING_AND_REVIEW,5,J1-P04-S05,acf28243c5d428e77605,LETTER,وِ,C0003,C0001,2:148,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
